,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    18.000000
mean      2.884592
std       3.371602
min       0.049350
25%       0.721292
50%       1.652877
75%       3.469307
max      13.173072
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    18.000000
mean      2.953826
std       3.426079
min       0.104700
25%       0.714095
50%       1.727119
75%       3.717596
max      13.304340
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    18.000000
mean      2.937313
std       3.399994
min       0.153985
25%       0.707049
50%       1.687416
75%       3.633621
max      13.241468
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    18.000000
mean      2.953826
std       3.426079
min       0.104700
25%       0.714095
50%       1.727119
75%       3.717596
max      13.304340
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    18.000000
mean      3.328258
std       3.910906
min       0.042766
25%       0.979505
50%       1.883791
75%       4.513707
max      16.191827
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    35.000000
mean      3.259166
std       3.192289
min       0.055861
25%       1.103899
50%       2.403058
75%       4.599997
max      13.465833
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.2,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    35.000000
mean      3.325165
std       3.249386
min       0.090357
25%       1.185735
50%       2.214067
75%       4.622009
max      13.591561
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(alpha=0.5),Performance,0.2,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    35.000000
mean      3.269908
std       3.207894
min       0.049245
25%       1.132656
50%       2.398049
75%       4.643603
max      13.509472
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.2,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    35.000000
mean      3.325165
std       3.249386
min       0.090357
25%       1.185735
50%       2.214067
75%       4.622009
max      13.591561
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    35.000000
mean      3.136255
std       3.836745
min       0.058116
25%       0.528515
50%       1.634163
75%       4.415526
max      16.291173
Name: % error, dtype: float64"
10,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    53.000000
mean      3.178319
std       2.939215
min       0.004843
25%       0.992414
50%       2.357670
75%       4.421523
max      13.309039
Name: % error, dtype: float64"
11,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.3,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    53.000000
mean      3.192188
std       2.936590
min       0.022244
25%       0.994735
50%       2.411653
75%       4.639101
max      13.285653
Name: % error, dtype: float64"
12,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(),Performance,0.3,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    53.000000
mean      3.179056
std       2.945639
min       0.004159
25%       1.017680
50%       2.303825
75%       4.494525
max      13.400609
Name: % error, dtype: float64"
13,ElasticNet,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0)",Performance,0.3,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    53.000000
mean      3.180907
std       2.946418
min       0.043541
25%       1.012671
50%       2.292940
75%       4.509548
max      13.419586
Name: % error, dtype: float64"
14,RandomForest,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    53.000000
mean      3.065119
std       3.390928
min       0.089645
25%       0.597717
50%       1.788543
75%       4.483364
max      16.342018
Name: % error, dtype: float64"
15,LinearRegression,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.4,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    70.000000
mean      2.876022
std       3.047835
min       0.010058
25%       0.463654
50%       1.889607
75%       4.426145
max      14.102249
Name: % error, dtype: float64"
16,Lasso,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.4,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    70.000000
mean      2.893842
std       3.045901
min       0.050280
25%       0.559768
50%       2.011282
75%       4.271512
max      14.122135
Name: % error, dtype: float64"
17,Ridge,False,None,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       '#yes'],
      dtype='object')",Ridge(alpha=0.05),Performance,0.4,"Index(['root', 'time_passes', 'gvn', 'instcombine', 'inline', 'jump_threading',
       'simplifycfg', 'sccp', 'print_used_types', 'ipsccp', 'iv_users', 'licm',
       'Performance', '#yes'],
      dtype='object')","count    70.000000
mean      2.875988
std       3.048571
min       0.000316
25%       0.471516
50%       1.894194
75%       4.435292
max      14.106686
Name: % error, dtype: float64"
