,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"licm                10.511864
gvn                  9.745601
instcombine          9.095871
iv_users             8.388660
print_used_types     6.992012
inline               6.049807
sccp                 5.221577
#yes                 4.978125
simplifycfg          3.501452
jump_threading       3.399333
ipsccp               2.921983
dtype: float64","count    18.000000
mean      2.884592
std       3.371602
min       0.049350
25%       0.721292
50%       1.652877
75%       3.469307
max      13.173072
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.1,"licm                13.439089
gvn                 12.748407
instcombine         11.990394
inline               9.056814
iv_users             4.458219
print_used_types     2.900032
#yes                 1.655349
sccp                 1.297016
dtype: float64","count    18.000000
mean      2.953826
std       3.426079
min       0.104700
25%       0.714095
50%       1.727119
75%       3.717596
max      13.304340
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"licm                10.199090
gvn                  9.484538
instcombine          8.818038
iv_users             8.123751
print_used_types     6.742691
inline               5.926633
sccp                 5.071762
#yes                 4.991523
simplifycfg          3.353288
jump_threading       3.302309
ipsccp               2.842974
dtype: float64","count    18.000000
mean      2.937313
std       3.399994
min       0.153985
25%       0.707049
50%       1.687416
75%       3.633621
max      13.241468
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.1,"licm                13.439089
gvn                 12.748407
instcombine         11.990394
inline               9.056814
iv_users             4.458219
print_used_types     2.900032
#yes                 1.655349
sccp                 1.297016
dtype: float64","count    18.000000
mean      2.953826
std       3.426079
min       0.104700
25%       0.714095
50%       1.727119
75%       3.717596
max      13.304340
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    18.000000
mean      3.397994
std       3.955846
min       0.120697
25%       0.825925
50%       1.937716
75%       4.640315
max      16.212588
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"licm                10.896448
gvn                 10.014563
instcombine          8.912493
iv_users             8.170928
print_used_types     6.127022
inline               5.425231
#yes                 5.190643
sccp                 4.622600
simplifycfg          4.119751
jump_threading       3.606717
ipsccp               3.411073
dtype: float64","count    35.000000
mean      3.259166
std       3.192289
min       0.055861
25%       1.103899
50%       2.403058
75%       4.599997
max      13.465833
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')","Lasso(alpha=0.1, max_iter=100)",Performance,0.2,"licm                14.256464
gvn                 13.469215
instcombine         12.210487
inline               8.940683
iv_users             3.806050
print_used_types     1.569132
#yes                 1.407892
sccp                 0.175962
dtype: float64","count    35.000000
mean      3.325165
std       3.249386
min       0.090357
25%       1.185735
50%       2.214067
75%       4.622009
max      13.591561
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",Ridge(alpha=0.5),Performance,0.2,"licm                10.712079
gvn                  9.863667
instcombine          8.744059
iv_users             8.033308
print_used_types     6.007096
inline               5.382130
#yes                 5.197113
sccp                 4.538115
simplifycfg          4.008319
jump_threading       3.554957
ipsccp               3.363028
dtype: float64","count    35.000000
mean      3.269908
std       3.207894
min       0.049245
25%       1.132656
50%       2.398049
75%       4.643603
max      13.509472
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=100)",Performance,0.2,"licm                14.256464
gvn                 13.469215
instcombine         12.210487
inline               8.940683
iv_users             3.806050
print_used_types     1.569132
#yes                 1.407892
sccp                 0.175962
dtype: float64","count    35.000000
mean      3.325165
std       3.249386
min       0.090357
25%       1.185735
50%       2.214067
75%       4.622009
max      13.591561
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['gvn', 'instcombine', 'inline', 'jump_threading', 'simplifycfg', 'sccp',
       'print_used_types', 'ipsccp', 'iv_users', 'licm', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"gvn                NaN
instcombine        NaN
inline             NaN
jump_threading     NaN
simplifycfg        NaN
sccp               NaN
print_used_types   NaN
ipsccp             NaN
iv_users           NaN
licm               NaN
#yes               NaN
Name: % error, dtype: float64","count    35.000000
mean      3.161014
std       3.829055
min       0.092789
25%       0.527928
50%       1.710854
75%       4.311003
max      16.591773
Name: % error, dtype: float64"
