,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based                  6.604281e+14
memory_based                 6.604281e+14
min                          2.028561e+14
max                          2.028561e+14
none                         3.862293e+13
polly                        3.862293e+13
polly_no_tiling              4.553969e+00
parallel                     1.843750e+00
pollydefaulttilesize_1024    1.437500e+00
pollydefaulttilesize_4       1.187500e+00
dtype: float64","count    1955.000000
mean       22.499903
std        36.851442
min         0.011697
25%         5.561326
50%        13.137576
75%        20.627422
max       229.376855
Name: % error, dtype: float64",10
1,Lasso,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.2, max_iter=1)",Performance,0.1,"min                          6.252259
value_based                  4.595499
polly_no_tiling              3.866170
parallel                     0.863614
pollydefaulttilesize_1024    0.229606
dtype: float64","count    1955.000000
mean       22.644865
std        41.028070
min         0.006954
25%         4.427037
50%        12.406700
75%        18.636242
max       248.181137
Name: % error, dtype: float64",10
2,Ridge,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"polly_no_tiling              3.806505
max                          3.179965
min                          3.179965
value_based                  2.501831
memory_based                 2.501831
parallel                     1.563980
pollydefaulttilesize_1024    1.151269
pollydefaulttilesize_4       0.581592
none                         0.360209
polly                        0.360209
dtype: float64","count    1955.000000
mean       22.559354
std        39.559047
min         0.024244
25%         4.906320
50%        12.976517
75%        18.560482
max       241.775279
Name: % error, dtype: float64",10
3,ElasticNet,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')","ElasticNet(alpha=0.2, l1_ratio=1.0, max_iter=1)",Performance,0.1,"min                          6.252259
value_based                  4.595499
polly_no_tiling              3.866170
parallel                     0.863614
pollydefaulttilesize_1024    0.229606
dtype: float64","count    1955.000000
mean       22.644865
std        41.028070
min         0.006954
25%         4.427037
50%        12.406700
75%        18.636242
max       248.181137
Name: % error, dtype: float64",10
4,PolynomialRegression,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_no_tiling              4.402061e+14
pollydefaulttilesize_1024    3.202981e+14
min                          2.824432e+14
pollydefaulttilesize_4       2.550365e+14
value_based                  1.507026e+14
none                         1.038583e+14
memory_based                 9.727651e+13
polly                        7.951161e+13
max                          2.837897e+13
parallel                     2.184564e+13
dtype: float64","count    1955.000000
mean       10.730279
std        14.774864
min         0.002204
25%         3.581310
50%         7.133531
75%        11.229983
max       102.244065
Name: % error, dtype: float64",10
5,RandomForest,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0              polly_no_tiling
1                  value_based
3                          min
2                 memory_based
4                          max
5                     parallel
6       pollydefaulttilesize_4
7                         none
8                        polly
9    pollydefaulttilesize_1024
Name: feature, dtype: object","count    1955.000000
mean        1.908743
std         4.175799
min         0.000725
25%         0.366481
50%         0.894083
75%         1.873458
max        34.867839
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0              polly_no_tiling
1                  value_based
4                          max
2                 memory_based
3                          min
5                     parallel
6       pollydefaulttilesize_4
7                         none
8                        polly
9    pollydefaulttilesize_1024
Name: feature, dtype: object","count    1955.000000
mean        2.796939
std         7.952987
min         0.000071
25%         0.543313
50%         1.128251
75%         2.273295
max        66.292649
Name: % error, dtype: float64",10
7,DecisionTree,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"1                  value_based
0              polly_no_tiling
3                          min
5                     parallel
6       pollydefaulttilesize_4
7                         none
8                        polly
9    pollydefaulttilesize_1024
2                 memory_based
4                          max
Name: feature, dtype: object","count    1955.000000
mean        1.402755
std         2.397804
min         0.000000
25%         0.333870
50%         0.825997
75%         1.763384
max        24.231782
Name: % error, dtype: float64",10
8,LinearRegression,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')",LinearRegression(),Performance,0.2,"polly                        6.603906e+14
none                         6.603906e+14
value_based                  1.350264e+14
memory_based                 1.350264e+14
min                          3.024580e+13
max                          3.024580e+13
polly_no_tiling              3.908542e+00
parallel                     1.601562e+00
pollydefaulttilesize_1024    9.218750e-01
pollydefaulttilesize_4       5.078125e-01
dtype: float64","count    1738.000000
mean       23.433705
std        43.252039
min         0.005822
25%         4.484270
50%        12.767163
75%        18.271436
max       253.857567
Name: % error, dtype: float64",10
9,Lasso,False,RandomForest,"Index(['polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'parallel', 'pollydefaulttilesize_4', 'none', 'polly',
       'pollydefaulttilesize_1024'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.2,"min                          5.657749e+00
value_based                  4.962369e+00
polly_no_tiling              3.681901e+00
parallel                     1.374730e+00
pollydefaulttilesize_1024    5.665092e-01
none                         2.874763e-01
max                          5.219693e-15
dtype: float64","count    1738.000000
mean       23.519586
std        43.678130
min         0.001340
25%         4.146084
50%        12.598156
75%        16.931867
max       252.319974
Name: % error, dtype: float64",10
