,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0      6894.270873
cells_50    2457.952306
pre_1       2265.069339
post_1      1714.445851
SeqGS       1707.051480
cells_55    1382.411352
pre_0       1226.431010
CGSolver     768.905107
dtype: float64","count    964.000000
mean      15.217650
std       12.597498
min        0.003732
25%        6.518360
50%       11.951511
75%       21.151013
max       81.498419
Name: % error, dtype: float64",8
1,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"post_0      6478.483797
cells_50    2181.394633
pre_1       2067.140073
SeqGS       1526.586825
post_1      1432.593681
cells_55    1264.628150
CGSolver     691.804322
pre_0        581.544552
dtype: float64","count    964.000000
mean      14.702586
std       12.399683
min        0.025543
25%        5.637622
50%       11.254613
75%       21.152234
max       82.356241
Name: % error, dtype: float64",8
2,Ridge,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"post_0      5443.889825
pre_1       2077.002722
cells_50    1966.136658
SeqGS       1425.553017
post_1      1342.387922
cells_55    1313.139366
CGSolver     783.212224
pre_0        690.204693
dtype: float64","count    964.000000
mean      14.128941
std       12.065287
min        0.001758
25%        5.683324
50%       10.856344
75%       19.082517
max       71.349305
Name: % error, dtype: float64",8
3,ElasticNet,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.1, max_iter=5)",Performance,0.1,"post_0      4214.236714
pre_1       1836.982406
cells_50    1558.069830
cells_55    1203.492363
SeqGS       1160.940339
post_1      1049.328301
CGSolver     760.400559
pre_0        360.278244
dtype: float64","count    964.000000
mean      13.883582
std       12.053168
min        0.026075
25%        4.963194
50%       10.495303
75%       18.530940
max       71.035180
Name: % error, dtype: float64",8
4,PolynomialRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.1,"SeqGS       9.540922e+16
cells_50    8.997510e+16
pre_0       6.382777e+16
cells_55    4.446183e+16
CGSolver    3.574414e+16
pre_1       3.038209e+16
post_1      1.621896e+15
post_0      8.502060e+03
dtype: float64","count    9.640000e+02
mean     9.956026e+11
std      7.756004e+12
min      8.063022e-03
25%      4.709126e+00
50%      1.321420e+01
75%      2.426280e+01
max      7.802556e+13
Name: % error, dtype: float64",8
5,RandomForest,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0      post_0
1    CGSolver
2       pre_0
4       pre_1
3      post_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    964.000000
mean      13.219973
std       11.520217
min        0.013898
25%        3.860507
50%       10.275278
75%       19.672290
max       69.543598
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
6    cells_50
7       SeqGS
Name: feature, dtype: object","count    964.000000
mean      13.883156
std       12.223853
min        0.001543
25%        4.233706
50%       10.696843
75%       20.988034
max       84.309889
Name: % error, dtype: float64",8
7,DecisionTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    964.000000
mean      15.090693
std       14.574039
min        0.006231
25%        4.382712
50%       11.646341
75%       21.988063
max      104.302176
Name: % error, dtype: float64",8
8,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0      5732.972344
pre_0       3131.457522
post_1      3040.351652
cells_50    2143.219733
cells_55    1789.432314
pre_1       1748.919113
SeqGS       1271.699275
CGSolver    1113.828298
dtype: float64","count    857.000000
mean      14.765246
std       11.284547
min        0.028087
25%        6.738607
50%       12.343572
75%       20.816422
max       77.840276
Name: % error, dtype: float64",8
9,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"post_0      5329.267271
post_1      2808.651774
pre_0       2618.265835
cells_50    1838.926249
cells_55    1667.594713
pre_1       1527.523914
SeqGS       1076.701182
CGSolver    1025.340522
dtype: float64","count    857.000000
mean      14.018400
std       10.776273
min        0.117479
25%        5.998181
50%       11.760305
75%       19.159757
max       72.241941
Name: % error, dtype: float64",8
10,Ridge,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"post_0      4557.279433
post_1      2519.389979
pre_0       2255.270311
cells_50    1676.406745
cells_55    1671.031717
pre_1       1508.300014
CGSolver    1079.191298
SeqGS       1023.759326
dtype: float64","count    857.000000
mean      13.591666
std       10.884674
min        0.011039
25%        5.387114
50%       10.562458
75%       19.311597
max       70.469206
Name: % error, dtype: float64",8
11,ElasticNet,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","ElasticNet(alpha=0.05, max_iter=5)",Performance,0.2,"post_0      4263.345244
post_1      2382.690420
pre_0       2056.470560
cells_55    1630.227243
cells_50    1565.756130
pre_1       1443.758392
CGSolver    1064.124850
SeqGS        958.988209
dtype: float64","count    857.000000
mean      13.504894
std       10.863892
min        0.009806
25%        5.253618
50%       10.262882
75%       19.262414
max       71.028129
Name: % error, dtype: float64",8
12,PolynomialRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.2,"cells_50    2.161159e+17
CGSolver    1.091969e+17
post_0      1.047170e+17
post_1      7.133458e+16
pre_0       4.818947e+16
cells_55    3.064366e+16
pre_1       2.457705e+16
SeqGS       7.404877e+15
dtype: float64","count    857.000000
mean      15.197808
std       13.482331
min        0.043752
25%        5.494379
50%       12.343221
75%       20.537838
max      116.529222
Name: % error, dtype: float64",8
13,RandomForest,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"0      post_0
1    CGSolver
2       pre_0
4       pre_1
3      post_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    857.000000
mean      12.462583
std       10.437441
min        0.002957
25%        4.180264
50%       10.309149
75%       18.147132
max       79.978321
Name: % error, dtype: float64",8
14,GradientBoostingTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
6    cells_50
7       SeqGS
Name: feature, dtype: object","count    857.000000
mean      12.683923
std       10.644615
min        0.007731
25%        4.436862
50%       10.681459
75%       18.277541
max       81.883819
Name: % error, dtype: float64",8
15,DecisionTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    857.000000
mean      13.979601
std       13.828545
min        0.002158
25%        4.166979
50%       10.768113
75%       19.750224
max      104.302176
Name: % error, dtype: float64",8
16,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.3,"post_0      5402.097011
pre_0       3040.397493
post_1      2817.460906
cells_55    1790.980641
cells_50    1712.366327
pre_1       1708.641544
SeqGS       1237.616515
CGSolver     954.370286
dtype: float64","count    750.000000
mean      14.209926
std       10.737355
min        0.131664
25%        6.215289
50%       12.080501
75%       19.669159
max       74.290991
Name: % error, dtype: float64",8
17,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","Lasso(alpha=2, max_iter=5)",Performance,0.3,"post_0      5373.386655
pre_0       2998.599297
post_1      2798.741665
cells_55    1780.577045
cells_50    1693.281177
pre_1       1690.669918
SeqGS       1224.106843
CGSolver     945.512528
dtype: float64","count    750.000000
mean      14.155739
std       10.691551
min        0.104722
25%        6.152389
50%       12.054928
75%       19.484019
max       73.806201
Name: % error, dtype: float64",8
18,Ridge,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",Ridge(),Performance,0.3,"post_0      5203.855805
pre_0       2855.577011
post_1      2722.954174
cells_55    1770.219131
pre_1       1662.857295
cells_50    1647.196110
SeqGS       1203.559580
CGSolver     938.319886
dtype: float64","count    750.000000
mean      13.989249
std       10.604185
min        0.372659
25%        5.862451
50%       11.789936
75%       18.865497
max       72.285238
Name: % error, dtype: float64",8
19,ElasticNet,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","ElasticNet(alpha=0.01, max_iter=10)",Performance,0.3,"post_0      5091.017233
pre_0       2753.589383
post_1      2668.779252
cells_55    1757.417217
pre_1       1636.614727
cells_50    1610.383278
SeqGS       1183.756769
CGSolver     929.030807
dtype: float64","count    750.000000
mean      13.865839
std       10.558356
min        0.389604
25%        5.925024
50%       11.896655
75%       18.674261
max       71.192459
Name: % error, dtype: float64",8
20,PolynomialRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.3,"cells_55    1.410696e+17
post_1      1.246605e+17
cells_50    1.231579e+17
SeqGS       1.179174e+17
CGSolver    1.066265e+17
post_0      4.285796e+16
pre_1       4.947099e+15
pre_0       2.584850e+15
dtype: float64","count    750.000000
mean      13.719184
std       10.985665
min        0.003019
25%        6.168828
50%       11.396514
75%       18.741678
max       89.414784
Name: % error, dtype: float64",8
21,RandomForest,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"0      post_0
1    CGSolver
2       pre_0
4       pre_1
3      post_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    750.000000
mean      12.199497
std        9.989274
min        0.003022
25%        4.421885
50%       10.526443
75%       17.954458
max       70.947103
Name: % error, dtype: float64",8
22,GradientBoostingTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.3,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
6    cells_50
7       SeqGS
Name: feature, dtype: object","count    750.000000
mean      12.507809
std       10.594045
min        0.002340
25%        4.253068
50%       10.854535
75%       16.711611
max       82.576738
Name: % error, dtype: float64",8
23,DecisionTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.3,"0      post_0
1    CGSolver
2       pre_0
3      post_1
4       pre_1
5    cells_55
7       SeqGS
6    cells_50
Name: feature, dtype: object","count    750.000000
mean      12.783551
std       11.532112
min        0.010196
25%        4.521741
50%       10.741529
75%       18.168751
max      115.715904
Name: % error, dtype: float64",8
24,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",LinearRegression(),Performance,0.4,"post_0      5240.533265
post_1      2876.923517
pre_0       2697.107632
cells_55    1732.168245
pre_1       1658.343085
cells_50    1517.093569
SeqGS       1263.387945
CGSolver     816.804859
dtype: float64","count    643.000000
mean      13.947000
std       10.394918
min        0.032585
25%        6.643214
50%       12.041395
75%       18.885699
max       69.910832
Name: % error, dtype: float64",8
25,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.4,"post_0      4872.044874
post_1      2615.830723
pre_0       2273.260599
cells_55    1603.554204
pre_1       1427.127359
cells_50    1293.469423
SeqGS       1113.136442
CGSolver     688.323446
dtype: float64","count    643.000000
mean      13.608174
std       10.043683
min        0.004736
25%        6.614293
50%       11.500905
75%       18.805862
max       71.009916
Name: % error, dtype: float64",8
26,Ridge,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_0', 'post_1', 'pre_1', 'cells_55',
       'cells_50', 'SeqGS'],
      dtype='object')",Ridge(alpha=4),Performance,0.4,"post_0      4686.331812
post_1      2592.403980
pre_0       2318.296918
cells_55    1671.713635
pre_1       1524.610489
cells_50    1370.105531
SeqGS       1179.433203
CGSolver     764.022745
dtype: float64","count    643.000000
mean      13.578776
std       10.267885
min        0.065142
25%        6.440041
50%       11.467322
75%       18.714312
max       70.988296
Name: % error, dtype: float64",8
