,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0        8255.001939
pre_1         7465.741917
post_1        3678.943458
cells_50      3174.536031
CGSolver      3117.923783
pre_0         2890.253630
cells_55      1842.504571
LoopSolver     608.954167
dtype: float64","count    964.000000
mean      22.138370
std       17.547447
min        0.054895
25%       10.000340
50%       18.913261
75%       28.826334
max      102.827244
Name: % error, dtype: float64",8
1,Lasso,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"pre_1         8419.961765
CGSolver      5255.856107
post_0        5246.120209
post_1        2742.742556
cells_50      1836.968506
cells_55       933.914114
LoopSolver     454.739282
pre_0           89.546536
dtype: float64","count    964.000000
mean      24.532933
std       20.497724
min        0.109499
25%       12.442150
50%       19.180626
75%       29.969048
max      144.980225
Name: % error, dtype: float64",8
2,Ridge,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"post_0        4269.586591
pre_1         3675.214611
CGSolver      2735.356776
post_1        1743.961572
cells_50      1310.757437
cells_55      1063.505983
pre_0          930.700089
LoopSolver     643.228496
dtype: float64","count    964.000000
mean      17.039335
std       14.953141
min        0.038752
25%        5.585608
50%       12.986758
75%       24.600321
max       94.699886
Name: % error, dtype: float64",8
3,ElasticNet,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')","ElasticNet(alpha=0.2, l1_ratio=0.1, max_iter=5)",Performance,0.1,"post_0        3020.409196
pre_1         2519.146703
CGSolver      2249.565397
post_1        1157.730736
cells_50       872.338811
cells_55       810.638427
LoopSolver     624.672796
pre_0          475.939595
dtype: float64","count    964.000000
mean      16.520381
std       15.200344
min        0.006477
25%        4.606632
50%       11.808537
75%       25.776510
max      105.864498
Name: % error, dtype: float64",8
4,PolynomialRegression,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0        1.559933e+17
cells_55      2.910796e+16
pre_1         6.237192e+15
post_1        4.653769e+15
pre_0         3.631008e+15
LoopSolver    2.445503e+15
cells_50      1.432212e+15
CGSolver      7.853244e+11
dtype: float64","count    9.640000e+02
mean     6.609676e+10
std      1.234728e+12
min      5.159000e-03
25%      4.680222e+00
50%      9.959152e+00
75%      1.807568e+01
max      2.879153e+13
Name: % error, dtype: float64",8
5,RandomForest,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"1         pre_0
0      CGSolver
3        post_0
2         pre_1
4        post_1
7      cells_55
5    LoopSolver
6      cells_50
Name: feature, dtype: object","count    964.000000
mean      11.557611
std       14.223074
min        0.019648
25%        3.160352
50%        7.313845
75%       13.266149
max      105.642561
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"1         pre_0
0      CGSolver
3        post_0
2         pre_1
4        post_1
5    LoopSolver
7      cells_55
6      cells_50
Name: feature, dtype: object","count    964.000000
mean      10.512012
std       12.470658
min        0.041668
25%        2.995220
50%        7.031187
75%       12.602527
max      106.006521
Name: % error, dtype: float64",8
7,DecisionTree,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0      CGSolver
1         pre_0
2         pre_1
3        post_0
4        post_1
7      cells_55
6      cells_50
5    LoopSolver
Name: feature, dtype: object","count    964.000000
mean      11.120470
std       15.442415
min        0.004083
25%        2.953326
50%        7.725028
75%       13.102441
max      173.927368
Name: % error, dtype: float64",8
8,LinearRegression,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0        6299.900493
pre_1         5349.486519
post_1        3387.088800
cells_50      2661.072777
pre_0         2650.456548
CGSolver      2276.464427
cells_55      1747.685460
LoopSolver     507.898695
dtype: float64","count    857.000000
mean      18.704814
std       14.931716
min        0.004857
25%        8.288279
50%       15.718132
75%       23.700685
max       94.174664
Name: % error, dtype: float64",8
9,Lasso,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"post_0        5945.371423
pre_1         4943.471729
post_1        3148.425043
pre_0         2363.586832
CGSolver      2236.449437
cells_50      2191.423754
cells_55      1621.836372
LoopSolver     417.249875
dtype: float64","count    857.000000
mean      17.972788
std       14.580278
min        0.046407
25%        7.582440
50%       15.020577
75%       23.067984
max       92.108312
Name: % error, dtype: float64",8
10,Ridge,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"post_0        4179.471970
pre_1         3087.998025
post_1        2297.885190
CGSolver      2097.968440
pre_0         1513.269743
cells_50      1306.373044
cells_55      1278.699825
LoopSolver     482.540697
dtype: float64","count    857.000000
mean      16.309801
std       13.955072
min        0.022391
25%        6.415494
50%       12.373286
75%       21.569243
max      102.141359
Name: % error, dtype: float64",8
11,ElasticNet,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.0, max_iter=10)",Performance,0.2,"post_0        3046.277727
pre_1         2101.243943
CGSolver      1820.736723
post_1        1693.870225
pre_0          987.741770
cells_55       980.292658
cells_50       812.761541
LoopSolver     471.535358
dtype: float64","count    857.000000
mean      15.899132
std       14.578884
min        0.014052
25%        5.076287
50%       11.077857
75%       21.857150
max      114.595972
Name: % error, dtype: float64",8
12,PolynomialRegression,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",LinearRegression(),Performance,0.2,"LoopSolver    1.060940e+18
post_0        5.834091e+17
post_1        4.802339e+17
cells_50      4.606396e+17
cells_55      2.448124e+17
pre_0         1.364948e+17
pre_1         5.634075e+16
CGSolver      2.374377e+16
dtype: float64","count    8.570000e+02
mean     5.318295e+11
std      9.366254e+12
min      1.357316e-02
25%      5.141428e+00
50%      1.038581e+01
75%      1.813439e+01
max      2.059495e+14
Name: % error, dtype: float64",8
13,RandomForest,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"1         pre_0
0      CGSolver
3        post_0
2         pre_1
4        post_1
7      cells_55
5    LoopSolver
6      cells_50
Name: feature, dtype: object","count    857.000000
mean      10.571592
std       12.302097
min        0.004213
25%        3.024318
50%        6.538796
75%       11.838410
max       81.447225
Name: % error, dtype: float64",8
14,GradientBoostingTree,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"1         pre_0
0      CGSolver
3        post_0
2         pre_1
4        post_1
5    LoopSolver
7      cells_55
6      cells_50
Name: feature, dtype: object","count    857.000000
mean       9.772446
std       11.099025
min        0.016976
25%        2.994822
50%        5.970080
75%       10.910254
max       67.647748
Name: % error, dtype: float64",8
15,DecisionTree,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"0      CGSolver
1         pre_0
2         pre_1
3        post_0
4        post_1
7      cells_55
6      cells_50
5    LoopSolver
Name: feature, dtype: object","count    857.000000
mean       9.760788
std       10.435932
min        0.025115
25%        2.983192
50%        6.539163
75%       11.501550
max       69.906642
Name: % error, dtype: float64",8
16,LinearRegression,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')",LinearRegression(),Performance,0.3,"post_0        6473.869773
pre_1         5775.757744
post_1        3462.072997
pre_0         2815.342897
cells_50      2372.649717
CGSolver      2283.363866
cells_55      1657.348602
LoopSolver     732.015557
dtype: float64","count    750.000000
mean      19.346946
std       15.318289
min        0.054448
25%        8.778146
50%       15.591552
75%       25.229820
max       96.132359
Name: % error, dtype: float64",8
17,Lasso,False,RandomForest,"Index(['CGSolver', 'pre_0', 'pre_1', 'post_0', 'post_1', 'LoopSolver',
       'cells_50', 'cells_55'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.3,"post_0        6138.051268
pre_1         5349.665590
post_1        3232.115032
pre_0         2528.077886
CGSolver      2251.840992
cells_50      1875.270916
cells_55      1524.824217
LoopSolver     641.042379
dtype: float64","count    750.000000
mean      18.602303
std       14.818272
min        0.078346
25%        8.181515
50%       14.943130
75%       23.981724
max       94.041998
Name: % error, dtype: float64",8
