,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0        7122.568169
pre_0         4392.039483
post_1        4228.921723
CGSolver      2724.018330
cells_50      2486.831888
cells_55      2113.682984
pre_1         1571.393401
LoopSolver     312.915579
dtype: float64","count    964.000000
mean      21.364185
std       16.133941
min        0.054275
25%        9.599446
50%       18.650415
75%       28.325735
max      122.355223
Name: % error, dtype: float64",8
1,Lasso,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')","Lasso(alpha=4, max_iter=5)",Performance,0.1,"post_0        7081.659636
pre_0         4344.405780
post_1        4204.169878
CGSolver      2707.199448
cells_50      2453.970569
cells_55      2101.764438
pre_1         1536.730055
LoopSolver     301.027849
dtype: float64","count    964.000000
mean      21.246848
std       16.073065
min        0.003244
25%        9.679051
50%       18.541732
75%       28.385333
max      121.737324
Name: % error, dtype: float64",8
2,Ridge,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.1,"post_0        6936.855172
pre_0         4260.145948
post_1        4139.903793
CGSolver      2676.016984
cells_50      2432.713127
cells_55      2097.743206
pre_1         1530.499082
LoopSolver     318.974412
dtype: float64","count    964.000000
mean      21.076281
std       15.991749
min        0.100396
25%        9.786458
50%       18.294295
75%       28.441467
max      120.953210
Name: % error, dtype: float64",8
3,ElasticNet,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')","ElasticNet(alpha=0.01, max_iter=5)",Performance,0.1,"post_0        6797.760170
pre_0         4162.904427
post_1        4072.236225
CGSolver      2639.511744
cells_50      2392.877996
cells_55      2084.602506
pre_1         1500.664616
LoopSolver     323.756338
dtype: float64","count    964.000000
mean      20.863741
std       15.903218
min        0.012473
25%        9.900916
50%       18.034431
75%       28.027573
max      119.923825
Name: % error, dtype: float64",8
4,PolynomialRegression,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",LinearRegression(),Performance,0.1,"pre_0         1.794832e+17
post_0        1.582018e+17
LoopSolver    5.689547e+16
pre_1         3.367599e+16
cells_50      2.307195e+16
cells_55      7.946106e+15
post_1        5.871334e+15
CGSolver      1.066577e+13
dtype: float64","count    964.000000
mean      16.882196
std       17.702731
min        0.005598
25%        5.859517
50%       11.456541
75%       21.067644
max      159.947054
Name: % error, dtype: float64",8
5,RandomForest,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0      CGSolver
1        post_0
2         pre_1
3         pre_0
4        post_1
5      cells_50
6      cells_55
7    LoopSolver
Name: feature, dtype: object","count    964.000000
mean      12.758624
std       11.810690
min        0.020954
25%        4.577989
50%        9.641827
75%       17.067755
max       80.001392
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"1        post_0
0      CGSolver
2         pre_1
3         pre_0
4        post_1
5      cells_50
6      cells_55
7    LoopSolver
Name: feature, dtype: object","count    964.000000
mean      12.359025
std       11.377064
min        0.038508
25%        4.342077
50%        9.207306
75%       16.579805
max       74.817338
Name: % error, dtype: float64",8
7,DecisionTree,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0      CGSolver
1        post_0
2         pre_1
3         pre_0
4        post_1
5      cells_50
6      cells_55
7    LoopSolver
Name: feature, dtype: object","count    964.000000
mean      12.973686
std       12.000025
min        0.003097
25%        4.776024
50%        9.805924
75%       17.569637
max       91.057654
Name: % error, dtype: float64",8
8,LinearRegression,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0        6212.541208
post_1        4519.918183
pre_0         3048.846719
cells_55      1999.416367
CGSolver      1906.753412
cells_50      1427.319215
pre_1         1353.228849
LoopSolver      40.501878
dtype: float64","count    857.000000
mean      17.718540
std       14.089017
min        0.007476
25%        7.148187
50%       14.895086
75%       24.863992
max       90.296529
Name: % error, dtype: float64",8
9,Lasso,False,RandomForest,"Index(['CGSolver', 'post_0', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'LoopSolver'],
      dtype='object')","Lasso(alpha=10, max_iter=10)",Performance,0.2,"post_0        6098.374272
post_1        4441.285750
pre_0         2944.727236
cells_55      1932.372202
CGSolver      1862.412749
cells_50      1379.201111
pre_1         1268.513049
LoopSolver      19.551852
dtype: float64","count    857.000000
mean      17.527301
std       14.057758
min        0.007040
25%        6.774080
50%       14.519109
75%       24.373927
max       89.265182
Name: % error, dtype: float64",8
