,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           34365.103778
x_8            13415.691498
x_6             5733.036950
PPMd            5671.391155
BZip2           4980.474244
Deflate         2219.669013
LZMA            2161.147154
BlockSize_1     1649.133225
#yes             634.370478
LZMA2            632.395052
Files_0          497.153986
mtOff            216.374590
dtype: float64","count    3682.000000
mean       67.246451
std        76.556459
min         0.000504
25%        12.831425
50%        33.571213
75%        91.678339
max       362.786575
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_10           34034.708270
x_8            13079.650820
PPMd            6059.207559
x_6             5338.759251
BZip2           4325.666110
LZMA            2628.539431
Deflate         1547.088862
BlockSize_1     1233.901476
#yes             562.693814
Files_0          194.605864
dtype: float64","count    3682.000000
mean       65.227532
std        74.905170
min         0.024251
25%        13.068551
50%        32.460770
75%        88.267705
max       363.365371
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",Ridge(alpha=0.05),Performance,0.1,"x_10           34321.526310
x_8            13392.977183
x_6             5714.924564
PPMd            5668.347132
BZip2           4977.562060
Deflate         2223.296484
LZMA            2159.336658
BlockSize_1     1643.421839
#yes             632.881772
LZMA2            626.825247
Files_0          492.370139
mtOff            210.592166
dtype: float64","count    3682.000000
mean       67.243918
std        76.595935
min         0.009209
25%        12.793477
50%        33.503338
75%        91.518133
max       362.368631
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_10           34034.708270
x_8            13079.650820
PPMd            6059.207559
x_6             5338.759251
BZip2           4325.666110
LZMA            2628.539431
Deflate         1547.088862
BlockSize_1     1233.901476
#yes             562.693814
Files_0          194.605864
dtype: float64","count    3682.000000
mean       65.227532
std        74.905170
min         0.024251
25%        13.068551
50%        32.460770
75%        88.267705
max       363.365371
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           14596.680820
x_8             5664.808797
x_6             3405.102404
mtOff           1363.898078
Deflate         1345.813282
LZMA             815.368142
#yes             806.861619
LZMA2            690.989534
PPMd             628.170505
BZip2            467.626111
BlockSize_1      224.185276
Files_0          163.542103
dtype: float64","count    3682.000000
mean        8.436718
std         8.596452
min         0.002543
25%         2.483221
50%         5.437519
75%        11.664579
max        51.880910
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0            x_10
1             x_8
2           BZip2
3         Deflate
4             x_6
5            PPMd
6           LZMA2
7            LZMA
8            #yes
9           mtOff
10    BlockSize_1
11        Files_0
Name: feature, dtype: object","count    3682.000000
mean        5.984468
std         6.474776
min         0.000935
25%         1.648996
50%         3.792783
75%         8.112030
max        50.708493
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0            x_10
1             x_8
2           BZip2
3         Deflate
5            PPMd
4             x_6
7            LZMA
6           LZMA2
8            #yes
9           mtOff
11        Files_0
10    BlockSize_1
Name: feature, dtype: object","count    3682.000000
mean        9.424751
std         9.738064
min         0.000175
25%         2.668986
50%         6.595215
75%        12.311547
max        54.814550
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0            x_10
1             x_8
2           BZip2
3         Deflate
4             x_6
5            PPMd
6           LZMA2
7            LZMA
9           mtOff
8            #yes
10    BlockSize_1
11        Files_0
Name: feature, dtype: object","count    3682.000000
mean        5.714813
std         6.464545
min         0.000000
25%         1.400129
50%         3.469710
75%         7.734195
max        56.725146
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10           34738.551418
x_8            13798.037664
x_6             5997.288457
PPMd            5976.537671
BZip2           5072.602285
Deflate         1765.261800
BlockSize_1     1450.966113
LZMA            1439.716687
Files_0          721.756492
LZMA2            578.390274
#yes             406.767053
mtOff             71.813318
dtype: float64","count    3273.000000
mean       62.611845
std        74.003453
min         0.031473
25%        11.906324
50%        29.353011
75%        83.608984
max       362.424794
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'x_8', 'BZip2', 'Deflate', 'x_6', 'PPMd', 'LZMA2', 'LZMA',
       '#yes', 'mtOff', 'BlockSize_1', 'Files_0'],
      dtype='object')","Lasso(alpha=10, max_iter=5)",Performance,0.2,"x_10           34589.462435
x_8            13691.294622
BZip2           5856.801721
x_6             5850.428730
PPMd            5098.060162
Deflate         2533.991567
LZMA2           1317.267405
BlockSize_1     1292.946486
Files_0          595.513636
LZMA             593.354495
#yes             409.384008
mtOff             39.899672
dtype: float64","count    3273.000000
mean       61.937967
std        72.998606
min         0.003253
25%        12.019116
50%        28.624922
75%        82.668379
max       363.009443
Name: % error, dtype: float64",12
