,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"filterOff               1.112487e+16
tmOff                   1.112487e+16
#yes                    1.112487e+16
mtOff                   1.112487e+16
HeaderCompressionOff    1.112487e+16
PPMd                    1.321737e+15
LZMA2                   1.321737e+15
LZMA                    1.321737e+15
Deflate                 1.321737e+15
BZip2                   1.321737e+15
CompressionMethod       9.640619e+14
x_0                     4.256214e+14
x_4                     4.256214e+14
x_2                     4.256214e+14
x_6                     4.256214e+14
x_8                     4.256214e+14
x_10                    4.256214e+14
BlockSize_32            2.418049e+14
BlockSize_512           2.418049e+14
BlockSize_2048          2.418049e+14
BlockSize_4             2.418049e+14
BlockSize_128           2.418049e+14
BlockSize_2             2.418049e+14
BlockSize_1             2.418049e+14
BlockSize_8             2.418049e+14
BlockSize_256           2.418049e+14
BlockSize_4096          2.418049e+14
BlockSize_16            2.418049e+14
BlockSize_64            2.418049e+14
BlockSize_1024          2.418049e+14
Files                   1.574947e+13
root                    8.775201e+12
Files_100               6.252435e+12
Files_20                6.252435e+12
Files_80                6.252435e+12
Files_50                6.252435e+12
Files_60                6.252435e+12
Files_0                 6.252435e+12
Files_90                6.252435e+12
Files_70                6.252435e+12
Files_30                6.252435e+12
Files_10                6.252435e+12
Files_40                6.252435e+12
BlockSize               7.288249e+08
dtype: float64","count    3682.000000
mean      109.249906
std       107.568828
min         0.203390
25%        33.451426
50%        66.706638
75%       154.775383
max       687.692308
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"BZip2                   13661.059478
x_0                     12858.758402
x_10                    12654.716234
x_4                     11748.091252
x_2                     11087.440800
PPMd                     9551.590593
x_6                      5712.213629
LZMA2                    4491.256092
Files_100                3570.224244
LZMA                     3170.617680
Files_40                 2658.391219
Files_20                 1917.497105
BlockSize_1024           1844.104873
BlockSize_64             1725.663226
BlockSize_32             1697.130058
BlockSize_16             1298.935773
Deflate                  1183.999941
Files_50                 1162.436648
BlockSize_512            1061.170882
Files_80                  908.231903
BlockSize_4096            871.855668
Files_10                  832.703728
BlockSize_2048            790.104118
BlockSize_4               772.274626
Files_30                  621.122539
BlockSize_256             594.780947
Files_70                  249.642768
filterOff                 240.262086
Files_60                  225.478072
HeaderCompressionOff      155.563000
BlockSize_2               144.217279
Files_90                  129.809227
tmOff                      26.328332
#yes                       20.255304
dtype: float64","count    3682.000000
mean      105.065367
std       103.584226
min         0.070854
25%        32.770330
50%        62.333135
75%       149.523319
max       646.851039
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"x_10                    16898.910173
BZip2                   13333.907733
PPMd                     8467.354093
x_0                      7491.672758
x_4                      6621.313156
x_2                      6029.316384
x_8                      4410.360366
LZMA2                    3854.234599
Files_100                3287.121770
Files_40                 2860.036044
LZMA                     2712.972423
BlockSize_1024           2304.384513
BlockSize_32             2094.766896
BlockSize_512            1797.309146
Deflate                  1700.653382
BlockSize_64             1607.805267
Files_20                 1569.320189
BlockSize_2048           1516.910215
BlockSize_16             1330.344961
Files_10                 1316.710581
x_6                      1166.968240
Files_50                 1088.855525
Files_30                 1086.591451
Files_80                  992.291697
BlockSize_4               971.498298
BlockSize_4096            947.179125
Files_70                  797.820755
Files_90                  687.700735
BlockSize_256             563.923493
filterOff                 515.559768
Files_0                   478.894128
HeaderCompressionOff      421.348882
BlockSize_8               302.920280
Files_60                  290.164513
BlockSize_1               258.566313
BlockSize_2               255.216996
BlockSize_128             162.289775
#yes                       40.352149
mtOff                      34.858323
tmOff                      19.000415
dtype: float64","count    3682.000000
mean      101.009980
std        98.467450
min         0.047357
25%        32.767710
50%        59.730800
75%       145.751679
max       586.225754
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.0, max_iter=5)",Performance,0.1,"x_10                    14410.734134
BZip2                   12063.329283
x_0                      9062.546454
x_4                      8393.856510
PPMd                     8262.858163
x_2                      7956.541147
LZMA2                    3959.525138
Files_100                3044.032304
LZMA                     2995.503180
x_6                      2822.579870
Files_40                 2508.482029
x_8                      2340.862946
BlockSize_32             1816.095588
BlockSize_512            1665.601121
BlockSize_1024           1626.796926
BlockSize_64             1492.081627
Deflate                  1381.408343
Files_20                 1339.968630
BlockSize_2048           1287.128255
Files_10                 1263.894816
BlockSize_16             1081.289946
Files_50                 1059.824084
Files_30                  987.893317
Files_80                  897.198450
BlockSize_4               840.372113
BlockSize_4096            774.470163
Files_70                  721.481828
Files_90                  620.749304
Files_0                   503.650121
HeaderCompressionOff      450.151381
filterOff                 366.311793
BlockSize_256             354.450865
tmOff                     305.150738
Files_60                  297.986662
BlockSize_1               269.916228
BlockSize_2               259.153640
mtOff                     138.111458
BlockSize_8               128.540534
#yes                       97.273813
BlockSize_128              25.147061
dtype: float64","count    3682.000000
mean       94.679307
std        92.002237
min         0.015129
25%        31.594030
50%        55.186561
75%       140.809573
max       581.759703
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"43                    x_10
8                    BZip2
9                  Deflate
42                     x_8
7                     PPMd
41                     x_6
5                     LZMA
6                    LZMA2
3                    mtOff
44                    #yes
12                 Files_0
26             BlockSize_4
24             BlockSize_1
1                filterOff
2     HeaderCompressionOff
10                   tmOff
30            BlockSize_64
25             BlockSize_2
28            BlockSize_16
40                     x_4
13                Files_10
17                Files_50
16                Files_40
20                Files_80
15                Files_30
19                Files_70
18                Files_60
14                Files_20
35          BlockSize_2048
27             BlockSize_8
36          BlockSize_4096
38                     x_0
22               Files_100
21                Files_90
32           BlockSize_256
29            BlockSize_32
33           BlockSize_512
39                     x_2
31           BlockSize_128
34          BlockSize_1024
37                       x
23               BlockSize
11                   Files
4        CompressionMethod
0                     root
Name: feature, dtype: object","count    3682.000000
mean        5.979762
std         7.093519
min         0.002397
25%         1.360774
50%         3.492787
75%         7.792500
max        48.548193
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_0                     1.552959e+17
x_4                     1.552959e+17
x_2                     1.552959e+17
x_6                     1.552959e+17
x_8                     1.552959e+17
x_10                    1.552959e+17
Files_20                1.434929e+17
Files_100               1.434929e+17
Files_0                 1.434929e+17
Files_90                1.434929e+17
Files_80                1.434929e+17
Files_60                1.434929e+17
Files_50                1.434929e+17
Files_10                1.434929e+17
Files_30                1.434929e+17
Files_70                1.434929e+17
Files_40                1.434929e+17
CompressionMethod       1.118358e+17
Files                   1.085305e+17
BZip2                   1.045827e+17
Deflate                 1.045827e+17
LZMA                    1.045827e+17
LZMA2                   1.045827e+17
PPMd                    1.045827e+17
HeaderCompressionOff    7.333798e+16
tmOff                   7.333798e+16
#yes                    7.333798e+16
filterOff               7.333798e+16
mtOff                   7.333798e+16
BlockSize               6.917459e+16
BlockSize_1024          4.512054e+16
BlockSize_2048          4.512054e+16
BlockSize_64            4.512054e+16
BlockSize_256           4.512054e+16
BlockSize_4096          4.512054e+16
BlockSize_8             4.512054e+16
BlockSize_16            4.512054e+16
BlockSize_1             4.512054e+16
BlockSize_128           4.512054e+16
BlockSize_2             4.512054e+16
BlockSize_4             4.512054e+16
BlockSize_32            4.512054e+16
BlockSize_512           4.512054e+16
root                    2.026307e+13
x                       1.760000e+02
dtype: float64","count    3273.000000
mean      101.681418
std       110.668850
min         0.000000
25%        31.712873
50%        54.232750
75%       138.554217
max       632.210526
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"x_10                    13416.584608
x_0                     13127.730539
BZip2                   12799.572872
x_4                     12415.951690
x_2                     12162.758710
PPMd                     9652.971739
x_6                      4402.500897
LZMA2                    4059.165735
LZMA                     2584.343523
Files_40                 2024.807667
Files_20                 1621.499453
Files_30                 1477.964039
Files_70                 1213.414593
Deflate                  1127.609178
BlockSize_64             1108.644571
HeaderCompressionOff      986.804650
Files_100                 899.798926
Files_0                   883.337785
BlockSize_2048            787.610674
BlockSize_4096            702.364422
BlockSize_256             638.572347
BlockSize_32              543.978764
BlockSize_512             490.141504
BlockSize_4               471.497683
Files_60                  407.400241
mtOff                     366.433398
tmOff                     297.639750
BlockSize_2               253.831565
#yes                      115.016114
BlockSize_1                34.403236
Files_90                   31.999914
dtype: float64","count    3273.000000
mean      100.873860
std       101.983595
min         0.078148
25%        33.225786
50%        55.296353
75%       140.827079
max       555.822304
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"x_10                    17971.703160
BZip2                   12951.627917
PPMd                     8931.486219
x_0                      8050.818075
x_4                      7541.811833
x_2                      7270.142205
x_8                      4719.162472
LZMA2                    3576.879415
LZMA                     2181.783728
Files_40                 2060.650324
Files_20                 1902.648139
Deflate                  1738.521445
BlockSize_1024           1663.284845
Files_30                 1557.927885
Files_70                 1303.522628
Files_100                1262.965989
Files_0                  1236.829510
BlockSize_512            1195.852238
BlockSize_32             1083.807844
HeaderCompressionOff     1034.735887
BlockSize_4              1013.535581
BlockSize_2048            995.522598
BlockSize_64              976.429278
BlockSize_256             717.338285
BlockSize_4096            687.373586
mtOff                     685.529455
BlockSize_2               644.656120
filterOff                 520.822726
Files_90                  520.634829
BlockSize_1               514.038366
Files_60                  502.620698
BlockSize_128             307.731548
Files_50                  306.602517
tmOff                     248.861428
Files_80                  227.974137
BlockSize_16              189.965616
x_6                       171.906480
BlockSize_8                90.361278
#yes                       77.245134
Files_10                   32.933585
dtype: float64","count    3273.000000
mean      100.612141
std       100.677389
min         0.070023
25%        32.898107
50%        55.190836
75%       145.908175
max       553.219361
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.2,"x_10                    13416.584608
x_0                     13127.730539
BZip2                   12799.572872
x_4                     12415.951690
x_2                     12162.758710
PPMd                     9652.971739
x_6                      4402.500897
LZMA2                    4059.165735
LZMA                     2584.343523
Files_40                 2024.807667
Files_20                 1621.499453
Files_30                 1477.964039
Files_70                 1213.414593
Deflate                  1127.609178
BlockSize_64             1108.644571
HeaderCompressionOff      986.804650
Files_100                 899.798926
Files_0                   883.337785
BlockSize_2048            787.610674
BlockSize_4096            702.364422
BlockSize_256             638.572347
BlockSize_32              543.978764
BlockSize_512             490.141504
BlockSize_4               471.497683
Files_60                  407.400241
mtOff                     366.433398
tmOff                     297.639750
BlockSize_2               253.831565
#yes                      115.016114
BlockSize_1                34.403236
Files_90                   31.999914
dtype: float64","count    3273.000000
mean      100.873860
std       101.983595
min         0.078148
25%        33.225786
50%        55.296353
75%       140.827079
max       555.822304
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"43                    x_10
8                    BZip2
9                  Deflate
42                     x_8
7                     PPMd
41                     x_6
5                     LZMA
6                    LZMA2
3                    mtOff
44                    #yes
12                 Files_0
26             BlockSize_4
24             BlockSize_1
1                filterOff
2     HeaderCompressionOff
10                   tmOff
30            BlockSize_64
25             BlockSize_2
28            BlockSize_16
40                     x_4
13                Files_10
17                Files_50
16                Files_40
20                Files_80
15                Files_30
19                Files_70
18                Files_60
14                Files_20
35          BlockSize_2048
27             BlockSize_8
36          BlockSize_4096
38                     x_0
22               Files_100
21                Files_90
32           BlockSize_256
29            BlockSize_32
33           BlockSize_512
39                     x_2
31           BlockSize_128
34          BlockSize_1024
37                       x
23               BlockSize
11                   Files
4        CompressionMethod
0                     root
Name: feature, dtype: object","count    3273.000000
mean        4.938549
std         5.555596
min         0.000000
25%         1.163810
50%         3.012658
75%         6.358783
max        44.683168
Name: % error, dtype: float64"
10,LinearRegression,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"PPMd                    5.487403e+16
LZMA2                   5.487403e+16
LZMA                    5.487403e+16
Deflate                 5.487403e+16
BZip2                   5.487403e+16
HeaderCompressionOff    3.830671e+16
tmOff                   3.830671e+16
#yes                    3.830671e+16
filterOff               3.830671e+16
mtOff                   3.830671e+16
BlockSize_8             3.940781e+15
BlockSize_32            3.940781e+15
BlockSize_4             3.940781e+15
BlockSize_16            3.940781e+15
BlockSize_2             3.940781e+15
BlockSize_512           3.940781e+15
BlockSize_128           3.940781e+15
BlockSize_1             3.940781e+15
BlockSize_256           3.940781e+15
BlockSize_4096          3.940781e+15
BlockSize_64            3.940781e+15
BlockSize_1024          3.940781e+15
BlockSize_2048          3.940781e+15
Files_20                2.445760e+15
Files_0                 2.445760e+15
Files_10                2.445760e+15
Files_100               2.445760e+15
Files_90                2.445760e+15
Files_80                2.445760e+15
Files_50                2.445760e+15
Files_70                2.445760e+15
Files_60                2.445760e+15
Files_40                2.445760e+15
Files_30                2.445760e+15
CompressionMethod       1.562940e+15
x_0                     3.453315e+14
x_4                     3.453315e+14
x_2                     3.453315e+14
x_6                     3.453315e+14
x_8                     3.453315e+14
x_10                    3.453315e+14
Files                   2.785117e+14
BlockSize               9.639048e+13
root                    4.610620e+13
dtype: float64","count    2864.000000
mean      104.383372
std       103.103510
min         0.051203
25%        32.217762
50%        56.092038
75%       160.347254
max       516.969697
Name: % error, dtype: float64"
11,Lasso,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.3,"x_10                    13446.574806
x_0                     13371.158365
BZip2                   13028.222109
x_4                     12335.290835
x_2                     12047.689401
PPMd                     9651.193090
x_6                      4606.592957
LZMA2                    4339.782877
LZMA                     3214.930193
Deflate                  1271.734707
Files_20                 1220.653697
tmOff                     959.177968
Files_0                   777.709778
Files_30                  708.756455
Files_40                  618.107260
HeaderCompressionOff      605.302912
mtOff                     546.951997
BlockSize_32              371.060596
BlockSize_2048            352.816111
#yes                      352.285687
BlockSize_4               317.907235
BlockSize_64              315.090061
Files_10                  304.904129
Files_60                  293.165633
Files_70                  266.077366
filterOff                 226.560408
BlockSize_8               175.034392
Files_100                  93.303428
BlockSize_4096              4.206047
dtype: float64","count    2864.000000
mean      101.253623
std        98.272548
min         0.024986
25%        33.227511
50%        55.876853
75%       154.326251
max       454.736034
Name: % error, dtype: float64"
12,Ridge,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.3,"x_10                    18184.053645
BZip2                   13411.772540
PPMd                     8937.007760
x_0                      8430.015953
x_4                      7432.771729
x_2                      7068.716840
x_8                      4715.559679
LZMA2                    3806.146833
LZMA                     2675.683146
Deflate                  2007.065199
Files_20                 1368.625057
mtOff                     966.020692
Files_0                   954.096503
Files_30                  953.106576
Files_40                  900.638838
BlockSize_2048            844.159148
tmOff                     839.184267
filterOff                 814.809928
HeaderCompressionOff      814.634226
BlockSize_8               810.608264
BlockSize_32              744.888895
Files_60                  738.676690
BlockSize_1024            734.862773
BlockSize_4               728.767545
Files_70                  592.262032
Files_10                  495.701135
BlockSize_64              412.734002
Files_100                 356.069934
BlockSize_4096            278.987921
BlockSize_16              252.998698
Files_50                  225.320091
Files_90                  213.274052
BlockSize_2               194.313992
BlockSize_128             192.774834
BlockSize_1               181.297338
BlockSize_256             170.785808
#yes                      127.012127
BlockSize_512              84.024430
x_6                        31.891198
Files_80                   22.237547
dtype: float64","count    2864.000000
mean      101.527855
std        98.980085
min         0.021738
25%        32.721750
50%        55.639559
75%       156.050802
max       459.188705
Name: % error, dtype: float64"
13,ElasticNet,False,None,"Index(['root', 'filterOff', 'HeaderCompressionOff', 'mtOff',
       'CompressionMethod', 'LZMA', 'LZMA2', 'PPMd', 'BZip2', 'Deflate',
       'tmOff', 'Files', 'Files_0', 'Files_10', 'Files_20', 'Files_30',
       'Files_40', 'Files_50', 'Files_60', 'Files_70', 'Files_80', 'Files_90',
       'Files_100', 'BlockSize', 'BlockSize_1', 'BlockSize_2', 'BlockSize_4',
       'BlockSize_8', 'BlockSize_16', 'BlockSize_32', 'BlockSize_64',
       'BlockSize_128', 'BlockSize_256', 'BlockSize_512', 'BlockSize_1024',
       'BlockSize_2048', 'BlockSize_4096', 'x', 'x_0', 'x_2', 'x_4', 'x_6',
       'x_8', 'x_10', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.3,"x_10                    13446.574806
x_0                     13371.158365
BZip2                   13028.222109
x_4                     12335.290835
x_2                     12047.689401
PPMd                     9651.193090
x_6                      4606.592957
LZMA2                    4339.782877
LZMA                     3214.930193
Deflate                  1271.734707
Files_20                 1220.653697
tmOff                     959.177968
Files_0                   777.709778
Files_30                  708.756455
Files_40                  618.107260
HeaderCompressionOff      605.302912
mtOff                     546.951997
BlockSize_32              371.060596
BlockSize_2048            352.816111
#yes                      352.285687
BlockSize_4               317.907235
BlockSize_64              315.090061
Files_10                  304.904129
Files_60                  293.165633
Files_70                  266.077366
filterOff                 226.560408
BlockSize_8               175.034392
Files_100                  93.303428
BlockSize_4096              4.206047
dtype: float64","count    2864.000000
mean      101.253623
std        98.272548
min         0.024986
25%        33.227511
50%        55.876853
75%       154.326251
max       454.736034
Name: % error, dtype: float64"
