,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 18:11:33.444570,2023-06-18 18:12:15.111964
10,distBased,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 18:12:15.139210,2023-06-18 18:13:01.325412
20,distBased,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 18:13:01.373815,2023-06-18 18:14:07.260930
30,distBased,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 18:14:07.281187,2023-06-18 18:15:37.447428
40,distBased,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 18:15:37.464307,2023-06-18 18:17:20.143028
50,distBased,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 18:17:20.163955,2023-06-18 18:18:58.729187
60,distBased,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 18:18:58.737306,2023-06-18 18:20:44.000446
70,distBased,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 18:20:44.024922,2023-06-18 18:22:51.408732
80,distBased,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 18:22:51.437938,2023-06-18 18:24:54.748374
90,distBased,1.0,46,False,None,DecisionTree,,,2023-06-18 18:11:33.441035,2023-06-18 18:24:54.757359
100,divDistBased,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 18:25:08.371499,2023-06-18 18:25:36.492631
110,divDistBased,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 18:25:36.545357,2023-06-18 18:26:46.038449
120,divDistBased,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 18:26:46.061349,2023-06-18 18:27:58.570223
130,divDistBased,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 18:27:58.578461,2023-06-18 18:29:20.877386
140,divDistBased,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 18:29:20.915481,2023-06-18 18:30:52.036894
150,divDistBased,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 18:30:52.046805,2023-06-18 18:32:16.952491
160,divDistBased,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 18:32:16.993257,2023-06-18 18:34:18.257213
170,divDistBased,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 18:34:18.280468,2023-06-18 18:36:14.175785
180,divDistBased,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 18:36:14.204734,2023-06-18 18:38:04.136543
190,divDistBased,1.0,46,False,None,DecisionTree,,,2023-06-18 18:25:08.368566,2023-06-18 18:38:04.144935
200,henard,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 18:38:17.251559,2023-06-18 18:38:48.942021
210,henard,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 18:38:48.952046,2023-06-18 18:39:29.694701
220,henard,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 18:39:29.723016,2023-06-18 18:40:24.887499
230,henard,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 18:40:24.916054,2023-06-18 18:41:31.686854
240,henard,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 18:41:31.695115,2023-06-18 18:42:39.090374
250,henard,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 18:42:39.098453,2023-06-18 18:43:46.531029
260,henard,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 18:43:46.539751,2023-06-18 18:45:10.665379
270,henard,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 18:45:10.690186,2023-06-18 18:46:42.212460
280,henard,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 18:46:42.221649,2023-06-18 18:48:15.249416
290,henard,1.0,46,False,None,DecisionTree,,,2023-06-18 18:38:17.249797,2023-06-18 18:48:15.257969
300,random,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 18:48:25.964228,2023-06-18 18:49:04.534566
310,random,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 18:49:04.557132,2023-06-18 18:49:49.818494
320,random,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 18:49:49.851623,2023-06-18 18:50:36.323863
330,random,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 18:50:36.340315,2023-06-18 18:51:46.602931
340,random,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 18:51:46.627956,2023-06-18 18:52:59.355655
350,random,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 18:52:59.380457,2023-06-18 18:54:17.355622
360,random,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 18:54:17.391385,2023-06-18 18:55:43.927049
370,random,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 18:55:43.947076,2023-06-18 18:57:28.386253
380,random,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 18:57:28.394725,2023-06-18 18:59:10.441154
390,random,1.0,46,False,None,DecisionTree,,,2023-06-18 18:48:25.962523,2023-06-18 18:59:10.467584
400,solverBased,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 18:59:24.747068,2023-06-18 18:59:53.145119
410,solverBased,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 18:59:53.153879,2023-06-18 19:00:34.552424
420,solverBased,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 19:00:34.577112,2023-06-18 19:01:17.225995
430,solverBased,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 19:01:17.234343,2023-06-18 19:02:10.762449
440,solverBased,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 19:02:10.819546,2023-06-18 19:03:13.004045
450,solverBased,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 19:03:13.025341,2023-06-18 19:04:30.977588
460,solverBased,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 19:04:31.008893,2023-06-18 19:05:46.490335
470,solverBased,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 19:05:46.516115,2023-06-18 19:07:12.008389
480,solverBased,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 19:07:12.023623,2023-06-18 19:08:39.146041
490,solverBased,1.0,46,False,None,DecisionTree,,,2023-06-18 18:59:24.744991,2023-06-18 19:08:39.154515
500,twise,1.0,46,False,None,DecisionTree,0.1,False,2023-06-18 19:08:50.395485,2023-06-18 19:09:19.571743
510,twise,1.0,46,False,None,DecisionTree,0.2,False,2023-06-18 19:09:19.579340,2023-06-18 19:10:01.174155
520,twise,1.0,46,False,None,DecisionTree,0.3,False,2023-06-18 19:10:01.182331,2023-06-18 19:10:44.592842
530,twise,1.0,46,False,None,DecisionTree,0.4,False,2023-06-18 19:10:44.601089,2023-06-18 19:11:32.536570
540,twise,1.0,46,False,None,DecisionTree,0.5,False,2023-06-18 19:11:32.558705,2023-06-18 19:12:31.127924
550,twise,1.0,46,False,None,DecisionTree,0.6,False,2023-06-18 19:12:31.136125,2023-06-18 19:13:31.469433
560,twise,1.0,46,False,None,DecisionTree,0.7,False,2023-06-18 19:13:31.494426,2023-06-18 19:14:46.848660
570,twise,1.0,46,False,None,DecisionTree,0.8,False,2023-06-18 19:14:46.857373,2023-06-18 19:16:16.137626
580,twise,1.0,46,False,None,DecisionTree,0.9,False,2023-06-18 19:16:16.146367,2023-06-18 19:17:46.574263
590,twise,1.0,46,False,None,DecisionTree,,,2023-06-18 19:08:50.392670,2023-06-18 19:17:46.602071
600,distBased,0.3,12,True,RandomForest,DecisionTree,0.1,False,2023-06-18 19:17:58.745302,2023-06-18 19:18:10.082370
610,distBased,0.3,12,True,RandomForest,DecisionTree,0.2,False,2023-06-18 19:18:10.090221,2023-06-18 19:18:22.833660
620,distBased,0.3,12,True,RandomForest,DecisionTree,0.3,False,2023-06-18 19:18:22.857584,2023-06-18 19:18:39.771685
630,distBased,0.3,12,True,RandomForest,DecisionTree,0.4,False,2023-06-18 19:18:39.781768,2023-06-18 19:18:57.173518
640,distBased,0.3,12,True,RandomForest,DecisionTree,0.5,False,2023-06-18 19:18:57.190252,2023-06-18 19:19:14.615685
650,distBased,0.3,12,True,RandomForest,DecisionTree,0.6,False,2023-06-18 19:19:14.640374,2023-06-18 19:19:38.957054
660,distBased,0.3,12,True,RandomForest,DecisionTree,0.7,False,2023-06-18 19:19:38.965612,2023-06-18 19:20:06.642158
670,distBased,0.3,12,True,RandomForest,DecisionTree,0.8,False,2023-06-18 19:20:06.650591,2023-06-18 19:20:36.500121
680,distBased,0.3,12,True,RandomForest,DecisionTree,0.9,False,2023-06-18 19:20:36.519235,2023-06-18 19:21:10.074949
690,distBased,0.3,12,True,RandomForest,DecisionTree,,,2023-06-18 19:17:58.070427,2023-06-18 19:21:10.111654
700,distBased,0.4,16,True,RandomForest,DecisionTree,0.1,False,2023-06-18 19:21:22.167592,2023-06-18 19:21:36.592496
710,distBased,0.4,16,True,RandomForest,DecisionTree,0.2,False,2023-06-18 19:21:36.600300,2023-06-18 19:21:59.530026
720,distBased,0.4,16,True,RandomForest,DecisionTree,0.3,False,2023-06-18 19:21:59.551307,2023-06-18 19:22:23.541719
730,distBased,0.4,16,True,RandomForest,DecisionTree,0.4,False,2023-06-18 19:22:23.550579,2023-06-18 19:22:49.903398
740,distBased,0.4,16,True,RandomForest,DecisionTree,0.5,False,2023-06-18 19:22:49.911688,2023-06-18 19:23:23.456776
750,distBased,0.4,16,True,RandomForest,DecisionTree,0.6,False,2023-06-18 19:23:23.465034,2023-06-18 19:23:55.947923
760,distBased,0.4,16,True,RandomForest,DecisionTree,0.7,False,2023-06-18 19:23:55.968916,2023-06-18 19:24:35.633513
770,distBased,0.4,16,True,RandomForest,DecisionTree,0.8,False,2023-06-18 19:24:35.641548,2023-06-18 19:25:20.544650
780,distBased,0.4,16,True,RandomForest,DecisionTree,0.9,False,2023-06-18 19:25:20.562849,2023-06-18 19:26:12.799785
790,distBased,0.4,16,True,RandomForest,DecisionTree,,,2023-06-18 19:21:21.532391,2023-06-18 19:26:12.808078
800,distBased,0.5,20,True,RandomForest,DecisionTree,0.1,False,2023-06-18 19:26:24.215693,2023-06-18 19:26:42.920701
810,distBased,0.5,20,True,RandomForest,DecisionTree,0.2,False,2023-06-18 19:26:42.951078,2023-06-18 19:27:08.094400
820,distBased,0.5,20,True,RandomForest,DecisionTree,0.3,False,2023-06-18 19:27:08.102984,2023-06-18 19:27:36.314565
830,distBased,0.5,20,True,RandomForest,DecisionTree,0.4,False,2023-06-18 19:27:36.340014,2023-06-18 19:28:09.264533
840,distBased,0.5,20,True,RandomForest,DecisionTree,0.5,False,2023-06-18 19:28:09.274430,2023-06-18 19:28:49.983173
850,distBased,0.5,20,True,RandomForest,DecisionTree,0.6,False,2023-06-18 19:28:49.992163,2023-06-18 19:29:36.222482
860,distBased,0.5,20,True,RandomForest,DecisionTree,0.7,False,2023-06-18 19:29:36.245214,2023-06-18 19:30:29.838134
870,distBased,0.5,20,True,RandomForest,DecisionTree,0.8,False,2023-06-18 19:30:29.862083,2023-06-18 19:31:32.211821
880,distBased,0.5,20,True,RandomForest,DecisionTree,0.9,False,2023-06-18 19:31:32.220850,2023-06-18 19:32:41.388873
890,distBased,0.5,20,True,RandomForest,DecisionTree,,,2023-06-18 19:26:23.570567,2023-06-18 19:32:41.413548
900,distBased,0.6,25,True,RandomForest,DecisionTree,0.1,False,2023-06-18 19:32:52.992662,2023-06-18 19:33:25.536435
