,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    14.607986
PS32K           9.719438
PS16K           7.580665
PS1K            4.185208
PS8K            2.938848
dtype: float64","count     327.000000
mean      470.897463
std       716.210796
min         7.115663
25%        39.752927
50%        80.444728
75%       663.948808
max      2868.039815
Name: % error, dtype: float64",5
1,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.5, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    7.765208
PS1K           3.281411
PS32K          0.791980
dtype: float64","count    327.000000
mean     147.320330
std      125.966766
min        4.118675
25%       55.408573
50%       91.493252
75%      225.302671
max      535.541382
Name: % error, dtype: float64",5
2,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=2),Performance,0.1,"HAVE_CRYPTO    9.545177
PS32K          4.266975
PS1K           3.783288
PS16K          3.016770
PS8K           1.407518
dtype: float64","count     327.000000
mean      192.616442
std       307.511460
min         5.389387
25%        41.226686
50%        65.526989
75%       256.427811
max      1369.428394
Name: % error, dtype: float64",5
3,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.0, max_iter=100)",Performance,0.1,"HAVE_CRYPTO    9.860524
PS32K          4.531351
PS1K           3.880164
PS16K          3.228076
PS8K           1.452097
dtype: float64","count     327.000000
mean      205.896367
std       330.258847
min         4.425775
25%        43.417952
50%        64.681682
75%       262.582005
max      1467.155737
Name: % error, dtype: float64",5
4,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"PS32K          1.607952e+14
PS16K          5.494265e+13
PS8K           2.558569e+13
HAVE_CRYPTO    2.215260e+13
PS1K           3.210272e+12
dtype: float64","count    327.000000
mean      16.057645
std       15.298067
min        0.008176
25%        3.969714
50%       10.383602
75%       25.755149
max       48.809825
Name: % error, dtype: float64",5
5,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    327.000000
mean      45.178429
std       80.376367
min        0.195186
25%        6.169643
50%       15.219023
75%       37.517971
max      332.158675
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    327.000000
mean      13.945209
std       14.582813
min        0.001831
25%        2.347512
50%        7.225288
75%       21.698056
max       52.948049
Name: % error, dtype: float64",5
7,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    327.000000
mean      13.804699
std       14.618810
min        0.005436
25%        2.719229
50%        7.077055
75%       21.814063
max       52.903198
Name: % error, dtype: float64",5
8,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    14.327026
PS32K          12.828366
PS16K           6.052917
PS1K            2.777575
PS8K            2.335561
dtype: float64","count     291.000000
mean      401.000037
std       509.572314
min        11.712279
25%        39.714334
50%       150.398952
75%       541.342282
max      2098.612684
Name: % error, dtype: float64",5
9,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.02, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    14.168878
PS32K          12.490375
PS16K           5.669249
PS1K            2.887504
PS8K            2.023883
dtype: float64","count     291.000000
mean      389.964288
std       492.957219
min        10.130882
25%        40.243198
50%       136.842641
75%       544.411276
max      2046.902336
Name: % error, dtype: float64",5
10,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(),Performance,0.2,"HAVE_CRYPTO    13.143280
PS32K          10.900837
PS16K           4.288963
PS1K            3.426227
PS8K            1.392532
dtype: float64","count     291.000000
mean      329.306285
std       420.951633
min         7.040879
25%        43.684334
50%       127.289041
75%       400.938093
max      1831.127600
Name: % error, dtype: float64",5
11,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.0, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    12.698147
PS32K          10.283331
PS16K           3.758615
PS1K            3.551336
PS8K            1.154393
dtype: float64","count     291.000000
mean      304.324768
std       391.379217
min         5.477783
25%        45.145346
50%       124.484590
75%       343.728306
max      1724.049195
Name: % error, dtype: float64",5
12,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"PS32K          2.155316e+14
PS1K           7.457761e+13
PS8K           5.037091e+13
HAVE_CRYPTO    2.413564e+13
PS16K          1.949941e+13
dtype: float64","count    291.000000
mean      17.757498
std       14.914772
min        0.007403
25%        3.773173
50%       13.693859
75%       28.062073
max       48.917925
Name: % error, dtype: float64",5
13,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    291.000000
mean      16.984705
std       14.630739
min        0.034771
25%        5.162276
50%       13.545724
75%       30.131903
max       45.877690
Name: % error, dtype: float64",5
14,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    291.000000
mean      15.552859
std       15.582722
min        0.000926
25%        1.896464
50%        6.231869
75%       32.192942
max       45.995345
Name: % error, dtype: float64",5
