,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    12.704557
PS16K           6.031029
PS1K            3.627828
PS32K           3.417893
PS8K            0.551703
dtype: float64","count     309.000000
mean      441.147735
std       422.013247
min         0.065317
25%        61.106974
50%       455.297886
75%       587.032254
max      1801.092204
Name: % error, dtype: float64",5
1,Lasso,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.1,"HAVE_CRYPTO    11.843064
PS16K           5.174783
PS1K            2.846088
PS32K           1.921337
dtype: float64","count     309.000000
mean      363.924789
std       303.675369
min         4.285028
25%        67.754260
50%       406.371499
75%       464.330324
max      1326.211744
Name: % error, dtype: float64",5
2,Ridge,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=0.3),Performance,0.1,"HAVE_CRYPTO    12.003645
PS16K           5.665407
PS1K            3.331834
PS32K           2.774695
PS8K            0.680137
dtype: float64","count     309.000000
mean      393.577659
std       366.648771
min         0.381269
25%        66.155769
50%       361.077449
75%       494.773114
max      1578.494461
Name: % error, dtype: float64",5
3,ElasticNet,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=10)",Performance,0.1,"HAVE_CRYPTO    11.365171
PS16K           5.324457
PS1K            3.054949
PS32K           2.215082
PS8K            0.749620
dtype: float64","count     309.000000
mean      350.618481
std       320.927282
min         1.382518
25%        68.100920
50%       254.830885
75%       493.969118
max      1373.170231
Name: % error, dtype: float64",5
4,PolynomialRegression,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    1.827003e+14
PS1K           2.443080e+13
PS32K          1.644274e+13
PS8K           2.603365e+12
PS16K          1.004776e+12
dtype: float64","count    3.090000e+02
mean     5.248720e+14
std      1.400137e+15
min      1.721573e-02
25%      4.238323e+00
50%      1.723840e+01
75%      3.852959e+01
max      4.678089e+15
Name: % error, dtype: float64",5
5,RandomForest,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0    HAVE_CRYPTO
1          PS32K
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    309.000000
mean      43.799043
std       69.005960
min        0.001720
25%        2.609096
50%       13.939124
75%       39.185766
max      250.555219
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0    HAVE_CRYPTO
1          PS32K
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    309.000000
mean      41.232066
std       64.842411
min        0.010094
25%        2.144390
50%       11.658117
75%       37.258114
max      235.176781
Name: % error, dtype: float64",5
7,DecisionTree,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0    HAVE_CRYPTO
1          PS32K
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    309.000000
mean      18.152951
std       20.734656
min        0.001626
25%        1.816990
50%        8.769094
75%       35.602136
max       83.279739
Name: % error, dtype: float64",5
8,LinearRegression,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    10.737450
PS16K           5.481598
PS32K           2.966699
PS8K            2.101803
PS1K            0.323750
dtype: float64","count    275.000000
mean     260.514564
std      204.429388
min        2.422106
25%       44.243529
50%      194.213525
75%      473.806904
max      519.642459
Name: % error, dtype: float64",5
9,Lasso,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    10.644968
PS16K           5.287822
PS32K           2.722754
PS8K            1.902130
PS1K            0.074739
dtype: float64","count    275.000000
mean     254.711562
std      198.367923
min        1.445714
25%       46.746923
50%      193.679320
75%      461.712004
max      533.992263
Name: % error, dtype: float64",5
10,Ridge,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",Ridge(alpha=0.8),Performance,0.2,"HAVE_CRYPTO    10.013816
PS16K           4.808698
PS32K           2.126019
PS8K            1.700962
PS1K            0.176624
dtype: float64","count    275.000000
mean     225.204490
std      183.919653
min        1.406274
25%       31.499597
50%      196.307667
75%      351.970062
max      498.905779
Name: % error, dtype: float64",5
11,ElasticNet,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=100)",Performance,0.2,"HAVE_CRYPTO    10.113301
PS16K           4.894534
PS32K           2.231269
PS8K            1.748410
PS1K            0.119082
dtype: float64","count    275.000000
mean     228.632221
std      187.370746
min        0.875856
25%       31.022721
50%      195.976583
75%      369.755330
max      498.236584
Name: % error, dtype: float64",5
12,PolynomialRegression,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",LinearRegression(),Performance,0.2,"HAVE_CRYPTO    4.345664e+14
PS8K           8.683105e+13
PS32K          7.567263e+13
PS1K           2.445562e+13
PS16K          1.981094e+13
dtype: float64","count    2.750000e+02
mean     2.493280e+12
std      1.285898e+13
min      2.195910e+00
25%      1.317289e+01
50%      2.141245e+01
75%      3.851866e+01
max      6.901656e+13
Name: % error, dtype: float64",5
13,RandomForest,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0    HAVE_CRYPTO
1          PS32K
2          PS16K
3           PS8K
4           PS1K
Name: feature, dtype: object","count    275.000000
mean      21.695351
std       18.912542
min        0.158812
25%        4.864129
50%       20.697772
75%       35.477344
max       83.700938
Name: % error, dtype: float64",5
14,GradientBoostingTree,False,RandomForest,"Index(['HAVE_CRYPTO', 'PS32K', 'PS16K', 'PS8K', 'PS1K'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0    HAVE_CRYPTO
1          PS32K
2          PS16K
4           PS1K
3           PS8K
Name: feature, dtype: object","count    275.000000
mean      21.515849
std       18.451391
min        0.266229
25%        5.687999
50%       20.716700
75%       33.971029
max       83.582160
Name: % error, dtype: float64",5
