,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1.410110e+06
compressionLrzip    6.454917e+05
level2              5.628780e+05
level3              4.575268e+05
level9              1.022494e+05
level8              4.026927e+04
dtype: float64","count    225.000000
mean     202.128869
std      179.421427
min        0.299399
25%       30.598847
50%      155.717715
75%      366.947633
max      633.500239
Name: % error, dtype: float64",6
1,Lasso,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"compressionZpaq     1.409885e+06
compressionLrzip    6.450940e+05
level2              5.623670e+05
level3              4.573113e+05
level9              1.016969e+05
level8              4.023390e+04
dtype: float64","count    225.000000
mean     202.061954
std      179.324440
min        0.313470
25%       30.411360
50%      155.684988
75%      366.658969
max      632.564753
Name: % error, dtype: float64",6
2,Ridge,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",Ridge(),Performance,0.1,"compressionZpaq     1.045143e+06
compressionLrzip    4.146125e+05
level2              3.314761e+05
level3              3.161835e+05
level8              6.316457e+04
level9              1.321289e+04
dtype: float64","count    225.000000
mean     181.500444
std      186.874279
min       12.088542
25%       47.685396
50%       95.652158
75%      264.318693
max      691.939418
Name: % error, dtype: float64",6
3,ElasticNet,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=5)",Performance,0.1,"compressionZpaq     787851.875457
compressionLrzip    290121.726900
level3              229095.415771
level2              223346.253038
level8               53604.891814
level9                4954.284947
dtype: float64","count    225.000000
mean     195.542920
std      212.526207
min       21.086815
25%       44.909463
50%       79.201556
75%      299.960732
max      769.416464
Name: % error, dtype: float64",6
4,PolynomialRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1066750.0
compressionLrzip     467770.0
level8                47822.5
level2                37635.0
level9                31560.0
level3                 8442.5
dtype: float64","count    225.000000
mean      98.327215
std       99.556807
min        0.030426
25%       16.735093
50%       49.736114
75%      168.884462
max      412.455720
Name: % error, dtype: float64",6
5,RandomForest,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
3              level3
5              level2
4    compressionLrzip
Name: feature, dtype: object","count    225.000000
mean      92.460954
std       83.609820
min        0.592597
25%       23.859965
50%       57.095887
75%      154.878872
max      341.298184
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
3              level3
5              level2
4    compressionLrzip
Name: feature, dtype: object","count    225.000000
mean      97.876523
std       96.841376
min        0.141138
25%       18.487931
50%       48.749261
75%      173.711578
max      396.741282
Name: % error, dtype: float64",6
7,DecisionTree,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
5              level2
3              level3
4    compressionLrzip
Name: feature, dtype: object","count    225.000000
mean      98.845396
std      100.207076
min        0.030426
25%       16.735093
50%       49.736114
75%      168.884462
max      412.455720
Name: % error, dtype: float64",6
8,LinearRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     1.948895e+06
level9              8.921678e+05
level2              4.219342e+05
compressionLrzip    3.360579e+05
level3              2.514333e+05
level8              2.201559e+05
dtype: float64","count     200.000000
mean      217.197966
std       351.560673
min         6.312546
25%        34.135127
50%       124.430893
75%       229.876180
max      1968.077538
Name: % error, dtype: float64",6
9,Lasso,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"compressionZpaq     1.948484e+06
level9              8.931482e+05
level2              4.211420e+05
compressionLrzip    3.352711e+05
level3              2.510929e+05
level8              2.209603e+05
dtype: float64","count     200.000000
mean      217.183011
std       351.819456
min         6.337076
25%        34.190517
50%       124.242155
75%       229.585289
max      1969.698903
Name: % error, dtype: float64",6
10,Ridge,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",Ridge(alpha=2),Performance,0.2,"compressionZpaq     1.475447e+06
level9              6.580932e+05
level2              2.805511e+05
level3              2.552453e+05
compressionLrzip    2.070629e+05
level8              9.018658e+04
dtype: float64","count     200.000000
mean      210.488838
std       321.330438
min         1.734181
25%        34.058508
50%        86.788442
75%       294.747971
max      1740.990457
Name: % error, dtype: float64",6
11,ElasticNet,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.1, max_iter=10)",Performance,0.2,"compressionZpaq     1.137171e+06
level9              4.983823e+05
level3              2.341628e+05
level2              1.932502e+05
compressionLrzip    1.340605e+05
level8              3.871536e+04
dtype: float64","count     200.000000
mean      238.100393
std       312.571105
min         7.956018
25%        44.477345
50%        91.239742
75%       322.794067
max      1569.241651
Name: % error, dtype: float64",6
12,PolynomialRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level3', 'compressionLrzip',
       'level2'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     1.081257e+06
compressionLrzip    2.993222e+05
level8              6.567302e+04
level9              6.310219e+04
level2              1.362469e+04
level3              1.210969e+04
dtype: float64","count    200.000000
mean      79.921216
std       90.341368
min        0.005679
25%       10.718107
50%       54.741668
75%      108.921181
max      362.783420
Name: % error, dtype: float64",6
