,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     2.095620e+06
compressionLrzip    4.300191e+05
level8              2.197155e+05
level1              1.944730e+05
level3              1.845497e+05
level9              2.998400e+04
dtype: float64","count    161.000000
mean     134.157797
std      127.386294
min        0.097278
25%       45.206756
50%      100.583797
75%      206.539220
max      774.995570
Name: % error, dtype: float64",6
1,Lasso,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.1,"compressionZpaq     2.095620e+06
compressionLrzip    4.300190e+05
level8              2.197155e+05
level1              1.944729e+05
level3              1.845495e+05
level9              2.998390e+04
dtype: float64","count    161.000000
mean     134.157743
std      127.386273
min        0.097286
25%       45.206750
50%      100.583600
75%      206.539220
max      774.995518
Name: % error, dtype: float64",6
2,Ridge,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",Ridge(alpha=25),Performance,0.1,"compressionZpaq     74630.002644
level9              30870.655207
compressionLrzip    24648.598641
level1              22991.728299
level3              21928.514013
level8              19789.686625
dtype: float64","count    161.000000
mean     233.514170
std      226.312575
min        3.968061
25%       45.887733
50%       92.203909
75%      480.447832
max      747.561829
Name: % error, dtype: float64",6
3,ElasticNet,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=0.0, max_iter=5)",Performance,0.1,"compressionZpaq     4567.900074
level9              2089.285682
compressionLrzip    1596.000563
level1              1411.401183
level3              1341.845109
level8              1331.299443
dtype: float64","count    161.000000
mean     235.016211
std      226.453926
min        0.985374
25%       50.504129
50%       85.205682
75%      477.293982
max      787.704093
Name: % error, dtype: float64",6
4,PolynomialRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionZpaq     1.047810e+06
compressionLrzip    2.089314e+05
level8              6.260500e+04
level3              5.580250e+04
level1              4.747750e+04
level9              1.499200e+04
dtype: float64","count    161.000000
mean     100.514491
std       96.158736
min        0.033941
25%       25.864982
50%       62.646511
75%      198.219777
max      339.995224
Name: % error, dtype: float64",6
5,RandomForest,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
3              level1
4    compressionLrzip
5              level3
Name: feature, dtype: object","count    161.000000
mean      96.619165
std       92.262625
min        1.007468
25%       27.780315
50%       60.749132
75%      141.753107
max      462.283586
Name: % error, dtype: float64",6
6,GradientBoostingTree,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
3              level1
5              level3
4    compressionLrzip
Name: feature, dtype: object","count    161.000000
mean      95.276281
std       94.806026
min        0.022325
25%       19.724306
50%       59.872023
75%      197.438915
max      330.256240
Name: % error, dtype: float64",6
7,DecisionTree,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0     compressionZpaq
1              level8
2              level9
3              level1
5              level3
4    compressionLrzip
Name: feature, dtype: object","count    161.000000
mean      97.005929
std       97.989388
min        0.033941
25%       20.697370
50%       60.378680
75%      198.219777
max      339.995224
Name: % error, dtype: float64",6
8,LinearRegression,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq     3.387372e+06
level8              8.980456e+05
level9              7.037290e+05
compressionLrzip    4.116151e+05
level1              2.265482e+05
level3              2.158461e+05
dtype: float64","count     143.000000
mean      263.293058
std       253.819204
min         3.602986
25%        73.473743
50%       181.458196
75%       415.730433
max      1200.178566
Name: % error, dtype: float64",6
9,Lasso,False,RandomForest,"Index(['compressionZpaq', 'level8', 'level9', 'level1', 'compressionLrzip',
       'level3'],
      dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.2,"compressionZpaq     3.387372e+06
level8              8.980454e+05
level9              7.037288e+05
compressionLrzip    4.116150e+05
level1              2.265480e+05
level3              2.158458e+05
dtype: float64","count     143.000000
mean      263.292987
std       253.819136
min         3.602962
25%        73.473777
50%       181.458138
75%       415.730304
max      1200.178525
Name: % error, dtype: float64",6
