,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,19,False,None,DecisionTree,0.1,False,2023-06-18 17:46:11.081963,2023-06-18 17:46:19.391854
10,distBased,1.0,19,False,None,DecisionTree,0.2,False,2023-06-18 17:46:19.395908,2023-06-18 17:46:29.032194
20,distBased,1.0,19,False,None,DecisionTree,0.3,False,2023-06-18 17:46:29.057078,2023-06-18 17:46:38.617932
30,distBased,1.0,19,False,None,DecisionTree,0.4,False,2023-06-18 17:46:38.642177,2023-06-18 17:46:46.341265
40,distBased,1.0,19,False,None,DecisionTree,0.5,False,2023-06-18 17:46:46.365762,2023-06-18 17:46:55.018927
50,distBased,1.0,19,False,None,DecisionTree,0.6,False,2023-06-18 17:46:55.043743,2023-06-18 17:47:04.313331
60,distBased,1.0,19,False,None,DecisionTree,0.7,False,2023-06-18 17:47:04.338083,2023-06-18 17:47:13.156014
70,distBased,1.0,19,False,None,DecisionTree,0.8,False,2023-06-18 17:47:13.164139,2023-06-18 17:47:21.387450
80,distBased,1.0,19,False,None,DecisionTree,0.9,False,2023-06-18 17:47:21.396235,2023-06-18 17:47:31.270693
90,distBased,1.0,19,False,None,DecisionTree,,,2023-06-18 17:46:11.080317,2023-06-18 17:47:31.278767
100,divDistBased,1.0,19,False,None,DecisionTree,0.1,False,2023-06-18 17:47:32.234662,2023-06-18 17:47:40.052364
110,divDistBased,1.0,19,False,None,DecisionTree,0.2,False,2023-06-18 17:47:40.080267,2023-06-18 17:47:47.951340
120,divDistBased,1.0,19,False,None,DecisionTree,0.3,False,2023-06-18 17:47:47.959570,2023-06-18 17:47:57.926743
130,divDistBased,1.0,19,False,None,DecisionTree,0.4,False,2023-06-18 17:47:57.945109,2023-06-18 17:48:06.574083
140,divDistBased,1.0,19,False,None,DecisionTree,0.5,False,2023-06-18 17:48:06.607188,2023-06-18 17:48:15.162482
150,divDistBased,1.0,19,False,None,DecisionTree,0.6,False,2023-06-18 17:48:15.186857,2023-06-18 17:48:24.257127
160,divDistBased,1.0,19,False,None,DecisionTree,0.7,False,2023-06-18 17:48:24.265235,2023-06-18 17:48:33.242170
170,divDistBased,1.0,19,False,None,DecisionTree,0.8,False,2023-06-18 17:48:33.250418,2023-06-18 17:48:40.712480
180,divDistBased,1.0,19,False,None,DecisionTree,0.9,False,2023-06-18 17:48:40.720603,2023-06-18 17:48:49.782715
190,divDistBased,1.0,19,False,None,DecisionTree,,,2023-06-18 17:47:32.233185,2023-06-18 17:48:49.808155
200,henard,1.0,19,False,None,DecisionTree,0.1,False,2023-06-18 17:48:52.070021,2023-06-18 17:49:00.280973
